timestamp,shift,operator,logged_tag,status_label,raw_flow_gpm,meter_factor_used,suction_psig,discharge_psig,differential_psig,motor_hz,tach_rpm,motor_amp,bearing_de_c,bearing_nde_c,seal_gland_c,ambient_c,noise_dba,operator_note
2026-06-18 00:00,N,Ng,CW-P-241B,OK,1412,1.0,18.2,83.5,65.3,59.4,1768,142.0,62.0,58.0,48.0,24,86,Raw meter display used.
2026-06-18 01:00,N,Patel,CW-P-241B,OK,1415,1.0,18.4,83.9,65.5,59.5,1769,143.8,62.4,58.5,48.7,24,87,Raw meter display used.
2026-06-18 02:00,N,Morgan,CW-P-241B,OK,1418,1.0,18.6,84.3,65.7,59.6,1770,145.6,62.8,59.0,49.4,24,88,Raw meter display used.
2026-06-18 03:00,N,Ibrahim,CW-P-241B,OK,1421,1.0,18.8,84.7,65.9,59.7,1771,147.4,63.2,59.5,50.1,24,89,Raw meter display used.
2026-06-18 04:00,N,Ng,CW-P-241B,OK,1424,1.0,19.0,85.1,66.1,59.4,1772,149.2,63.6,60.0,50.8,24,86,Raw meter display used.
2026-06-18 05:00,N,Patel,CW-P-241B,OK,1427,1.0,18.2,85.5,67.3,59.5,1773,151.0,64.0,60.5,48.0,24,87,Raw meter display used.
2026-06-18 06:00,N,Morgan,CW-P-241B,OK,1430,1.0,18.4,83.5,65.1,59.6,1768,152.8,64.4,61.0,48.7,24,88,Raw meter display used.
2026-06-18 07:00,N,Ibrahim,CW-P-241B,OK,1412,1.0,18.6,83.9,65.3,59.7,1769,154.6,64.8,58.0,49.4,24,89,Raw meter display used.
2026-06-18 08:00,D,Ng,CW-P-241B,OK,1421,1.0,18.8,84.3,65.5,59.4,1770,142.0,65.2,58.5,50.1,24,86,Raw meter display used.
2026-06-18 09:00,D,Patel,CW-P-241B,OK,1424,1.0,19.0,84.7,65.7,59.5,1771,143.8,62.0,59.0,50.8,24,87,Raw meter display used.
